RGID,Solar_radi,Worldclim_
1,1417.77,-5.9125
1,1430.25,-4.304167
1,1428.47,-9.145833
1,1506.27,-4.095833
1,1422.81,-3.895833
1,1531.07,-8.025
1,1455.28,-4.916667
1,1458.93,-7.420833
1,1529.32,-7.408333
1,1550.53,-10.833333
1,1529.34,-6.958333
1,1495.01,-3.829167
1,1384.95,-6.329167
1,1423.76,-6.633333
1,1570.3,-10.525
1,1539.2,-9.120833
1,1390.88,-7
1,1377.82,-5.870833
1,1377.6,-5.5875
1,1509.41,-7.295833
1,1396.9,-1.945833
1,1436.69,-1.991667
1,1419.31,-2.2375
1,1442.52,1.958333
0,1374.06,2.916667
0,1430.76,0.254167
1,1467.4,0.158333
1,1446.57,-0.666667
1,1469.29,-3.075
1,1369.08,-0.1
1,1418.56,3.879167
1,1330.81,4.1625
1,1484.38,-7.433333
1,1239.68,-1.329167
1,1280.48,-5.854167
1,1239.68,-1.329167
1,1435.01,-4.341667
1,1438.04,-5.454167
1,1313.42,-2.425
1,1313.42,-2.425
1,1270.36,-1.220833
1,1368.33,-3.745833
1,1393.76,-3.866667
1,1393.76,-3.866667
1,1304.8,-0.541667
1,1363.08,1.470833
1,1299.09,1.604167
0,1299.09,1.604167
0,1203.38,1.291667
1,1403.33,-3.116667
1,1255.89,-0.920833
1,1255.89,-0.920833
1,1341.45,-2.804167
1,1355.53,-5.683333
1,1218.85,-4.758333
1,1197.01,-0.4875
1,1215.48,-2.895833
1,1334.53,-5.154167
1,1293.98,-2.320833
1,1296.35,-3.758333
1,1292.06,-2.908333
1,1369.75,-5.241667
1,1463.56,-6.904167
1,1487.91,-8.158333
1,1315.41,-6.354167
1,1339.39,-4.345833
1,1304.58,-5.233333
1,1352.44,-6.195833
1,1304.58,-5.233333
1,1205.4,-2.379167
1,1388.2,-4.208333
1,1446.77,-6.354167
1,1377.95,-5.6875
1,1347.65,-6.675
1,1356.48,-4.291667
1,1521.03,-5.65
0,1399.59,-3.154167
1,1374.43,-7.254167
1,1232.46,-1.958333
1,1386.84,-7.804167
1,1221.02,-1.095833
1,1278.94,1.966667
1,1424.12,-0.9125
1,1369.53,-6.879167
1,1244.87,-6.25
1,1244.87,-6.25
1,1461.34,-7.354167
1,1334.46,-5.991667
1,1334.46,-5.991667
1,1419.76,-0.791667
1,1419.76,-0.791667
1,1412.34,-4.425
1,1412.34,-4.425
1,1441.85,-3.5
1,1462.15,-2.733333
1,1528.48,-10.945833
0,1456.12,-4.520833
1,1481.92,-5.095833
1,1458.7,-4.395833
1,1309.81,-3.454167
1,1368.59,-4.645833
1,1261.79,-3.391667
1,1190.19,-5.245833
1,1451.92,-3.9
1,1277.9,-4.625
1,1508.24,-5.779167
0,1344.37,-1.3125
0,1259.49,-0.0375
1,1249.3,-3.158333
1,1249.3,-3.158333
0,1379.1,-1.033333
0,1434.27,-1.575
0,1398.61,-1.0125
1,1419.24,-4.075
1,1303.41,-2.833333
1,1432.43,-3.8625
1,1432.43,-3.8625
1,1321,-1.7875
0,1303.41,-2.833333
1,1342.52,-3.241667
1,1424.07,-2.979167
1,1465.68,-3.5
1,1465.68,-3.5
0,1467.18,-2.945833
1,1475.12,-9.9375
1,1396.63,-6.608333
1,1332.36,-3.695833
1,1504.3,-4.870833
1,1307.4,-3.9875
1,1282.08,-4.929167
1,1150.25,-1.591667
1,1329.02,-7.108333
1,1329.02,-7.108333
1,1354.56,-7.016667
1,1315.92,-5.675
1,1288.6,-5.204167
1,1303.35,-5.416667
1,1253.69,-6.925
1,1256.34,-6.679167
1,1256.34,-6.679167
1,1462.11,-6.433333
1,1373.43,-4.2875
1,1593.96,-11.158333
1,1452.27,-4.870833
1,1462.5,-6.391667
1,1507.5,-7.529167
1,1349.88,-5.85
1,1349.88,-5.85
0,1212.47,-0.466667
1,1465.82,-8.25
0,1216.8,1.579167
1,1346.55,-7.0375
1,1442.24,-3.95
0,1255.69,-1.308333
1,1316.88,-1.441667
1,1412.36,-5.595833
1,1437.27,-0.870833
1,1417.2,-1.058333
1,1561.88,-10.925
1,1531.07,-8.025
1,1396.74,-6.083333
1,1299.26,-5.1875
1,1265.32,-2.245833
1,1529.01,-8.308333
1,1513.82,-6.216667
1,1513.82,-6.216667
0,1351.96,2.0125
0,1367.03,7.004167
0,1360.29,0.004167
0,1327.37,2.1375
0,1224.82,3.333333
0,1302.78,2.458333
0,1335.48,3.7875
0,1384.47,2.8875
0,1278.35,4.441667
0,1369.75,3.4875
0,1303.41,-2.833333
0,1343.77,-0.133333
0,1388.32,-0.9125
0,1278.85,2.729167
0,1292.28,-1.204167
0,1423.62,-1.5375
0,1458.26,-4.441667
0,1240.46,1.0875
0,1450.46,-3.241667
0,1324.25,7.3125
0,1370.02,-1.016667
0,1410.59,2.295833
0,1335.74,-0.966667
0,1398.61,-1.0125
0,1332.04,-0.270833
0,1322.94,-0.158333
0,1411.19,-2.104167
0,1281.66,-1.095833
0,1377.46,-1.991667
0,1252.23,-0.820833
0,1266.85,-0.104167
0,1305.35,1.758333
0,1414.42,0.008333
0,1394.71,0.404167
0,1412.64,-0.145833
0,1438.67,-1.725
0,1517.21,-10.491667
0,1340.12,4.720833
0,1369.61,3.5875
0,1341.96,4.220833
0,1335.48,3.7875
0,1379.1,-1.033333
0,1262.54,2.608333
0,1357.67,2.6
0,1420.43,1.291667
0,1395.33,4.183333
0,1396.08,-1.475
0,1442.95,0.245833
0,1415.69,2.675
0,1321.78,-2.1875
0,1368.54,-0.620833
0,1369.61,3.5875
0,1309.17,-1.275
0,1442.95,0.245833
0,1333.68,-2.141667
0,1429.43,-2.8625
0,1366.72,1.85
0,1365.28,-1.320833
0,1417.38,-0.225
0,1330.36,-0.525
0,1224.82,3.333333
0,1159.4,4.075
0,1265.76,3.470833
0,1412.02,1.558333
0,1395.23,2.508333
0,1416.58,1.058333
0,1269.02,-2.35
0,1269.02,-2.35
0,1299.55,-3.683333
0,1295.1,0.979167
0,1394.26,-3.208333
0,1380.16,0.204167
0,1414.72,-0.875
0,1341.2,0.6875
0,1336.76,1.570833
0,1369.75,3.4875
0,1379.35,2.904167
0,1379.35,2.904167
0,1278.35,4.441667
0,1384.63,-0.4125
0,1403.71,1.116667
0,1386.69,4.520833
0,1429.19,-1.770833
0,1450.46,-3.241667
0,1470.47,-3.15
0,1324.25,7.3125
0,1255.35,2.216667
0,1394.78,-1.525
0,1363.89,4.995833
0,1292.06,0.095833
0,1309.01,-3.4375
0,1405.01,2.825
0,1406.53,-2.1125
0,1269.03,-0.941667
0,1417.21,0.316667
0,1423.72,1.3875
0,1301.6,1.779167
0,1401.69,0.279167
0,1150.75,-0.258333
